LECROYWS24Xs	21529	Waveform
Segments	1	SegmentSize	100002
Segment	TrigTime	TimeSinceSegment1
#1	06-May-2025 17:27:42	0                 
Time	Ampl
-0.0040800876	-0.0431722
-0.0040798876	-0.023973
-0.0040796876	0.00162605
-0.0040794876	0.00162605
-0.0040792876	-0.0111735
-0.0040790876	0.00162605
-0.0040788876	0.00162605
-0.0040786876	-0.0111735
-0.0040784876	-0.0047737
-0.0040782876	0.0080258
-0.0040780876	-0.0047737
-0.0040778876	-0.0111735
-0.0040776876	0.00162605
-0.0040774876	-0.0047737
-0.0040772876	0.00162605
-0.0040770876	0.00162605
-0.0040768876	-0.0047737
-0.0040766876	-0.0111735
-0.0040764876	-0.0047737
-0.0040762876	-0.0111735
-0.0040760876	-0.0047737
-0.0040758876	-0.0047737
-0.0040756876	-0.0047737
-0.0040754876	-0.0047737
-0.0040752876	0.00162605
-0.0040750876	-0.0047737
-0.0040748876	0.00162605
-0.0040746876	-0.0047737
-0.0040744876	-0.0047737
-0.0040742876	-0.0047737
-0.0040740876	0.0080258
-0.0040738876	-0.0047737
-0.0040736876	0.00162605
-0.0040734876	0.0080258
-0.0040732876	-0.0047737
-0.0040730876	-0.0047737
-0.0040728876	0.0080258
-0.0040726876	-0.0047737
-0.0040724876	0.00162605
-0.0040722876	0.00162605
-0.0040720876	0.00162605
-0.0040718876	0.00162605
-0.0040716876	0.0080258
-0.0040714876	-0.0047737
-0.0040712876	0.0080258
-0.0040710876	0.00162605
-0.0040708876	0.00162605
-0.0040706876	-0.0303727
-0.0040704876	-0.049572
-0.0040702876	-0.075171
-0.0040700876	-0.0367725
-0.0040698876	-0.0047737
-0.0040696876	0.0080258
-0.0040694876	0.00162605
-0.0040692876	0.00162605
-0.0040690876	-0.0111735
-0.0040688876	0.00162605
-0.0040686876	0.00162605
-0.0040684876	0.00162605
-0.0040682876	-0.0047737
-0.0040680876	0.0144256
-0.0040678876	-0.0047737
-0.0040676876	0.00162605
-0.0040674876	0.0080258
-0.0040672876	-0.0047737
-0.0040670876	0.00162605
-0.0040668876	0.00162605
-0.0040666876	0.00162605
-0.0040664876	-0.0047737
-0.0040662876	0.0080258
-0.0040660876	-0.0111735
-0.0040658876	0.0080258
-0.0040656876	0.00162605
-0.0040654876	-0.0047737
-0.0040652876	0.00162605
-0.0040650876	0.0080258
-0.0040648876	-0.0111735
-0.0040646876	-0.0047737
-0.0040644876	-0.0047737
-0.0040642876	0.0080258
-0.0040640876	0.00162605
-0.0040638876	0.0080258
-0.0040636876	-0.0111735
-0.0040634876	0.00162605
